23	0	acs48       	            	A fuel based booster rocket, poor endurance but can provide a significant increase in speed.                                                                                                            	Booster 1               	7	2000-06-14 10:21:00	2	2	200	ResearchedBooster1                                                                                                                                                                                                                                              	ResearchedBooster1                                                                                                                                                                                                                                              	1	part        	1	27	invafterburn	403	0	0
50	0	acs57       	            	Energy weapon; optimized against miners and builders                                                                                                                                                    	EW Utl Cannon 1         	1	2000-06-06 09:14:00	1	150	200	ResearchedAntiUtility1                                                                                                                                                                                                                                          	ResearchedAntiUtility1                                                                                                                                                                                                                                          	5	part        	1	51	invsweapon  	3	0	0
51	0	acs57       	            	Energy weapon; optimized against miners and builders                                                                                                                                                    	EW Utl Cannon 2         	1	2000-04-27 10:49:00	1	150	200	ResearchedAntiUtility2 CopyElectronics                                                                                                                                                                                                                          	ResearchedAntiUtility2                                                                                                                                                                                                                                          	5	part        	1	52	invsweapon  	2	0	0
180	0	acs40       	            	Cap chaff mag 1                                                                                                                                                                                         	Hvy Countermeas 1       	2	2000-02-03 14:26:00	2	2	200	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	1	part        	2	53	invchaff    	813	0	0
21	0	acs30       	            	A small-ship mounted shield protection system.                                                                                                                                                          	Small Shield 1          	4	2000-06-14 10:29:00	2	1	50	ResearchedSmShield1                                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	1	part        	1	40	invshield   	303	0	0
22	0	acs39       	            	A medium-ship mounted shield protection system.                                                                                                                                                         	Medium Shield 1         	4	2000-06-14 10:29:00	4	1	75	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	1	part        	2	43	invshield   	313	0	0
24	0	acs29       	            	Required for Particle Weapons                                                                                                                                                                           	Ammo Pack               	6	2000-02-09 16:43:00	1	1	1	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	10	part        	1		invdefault  	901	0	0
25	0	acs36       	            	Required for Boosters                                                                                                                                                                                   	Booster Fuel            	6	2000-02-03 14:02:00	1	1	1	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	10	part        	1		invdefault  	902	0	0
33	0	wep09       	            	A Scout and Fighter-mounted particle weapon good against Fighter-class ships.                                                                                                                           	PW Gattlg Gun 1         	1	2000-03-16 12:07:00	1	200	200	                                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	5	part        	2	71	invsweapon  	23	0	0
38	0	acs38       	            	Cloaking device                                                                                                                                                                                         	Signature Cloak 1       	5	2000-02-03 14:28:00	3	1	0	ResearchedCloak1                                                                                                                                                                                                                                                	ResearchedCloak1                                                                                                                                                                                                                                                	5	part        	1	39	invcloak    	503	0	0
