22	500.0		200	75	0.01	720	0	255
31	1500.0	32	200	65	0.01	720	-1	255
331	1500.0	32	200	65	0.01	720	-1	255
431	1500.0	32	200	100	0.01	720	900	255
6	500.0	51	100	75	0.02	720	-1	30
15	600.0		200	75	0.01	720	0	255
17	5000.0		200	75	0.01	720	0	255
16	700.0		200	75	0.01	720	0	255
19	1000.0		200	75	0.01	720	0	255
2	500.0		200	75	0.01	720	0	255
1000	1000.0	204	250	60	0.01	720	20	255
1001	1000.0	204	250	75	0.01	720	20	255
1002	600.0	202	250	25	7.4999999999999997E-2	720	20	255
631	1500.0	32	200	100	0.01	720	900	255
800	1000.0	204	200	75	0.01	720	25	255
850	600.0	202	200	25	7.4999999999999997E-2	720	25	255
861	600.0	203	160	25	7.4999999999999997E-2	720	25	255
862	600.0	203	200	25	7.4999999999999997E-2	720	20	255
871	1000.0	205	160	50	0.01	720	25	255
872	1000.0	205	200	50	0.01	720	20	255
600	500.0	51	100	75	0.02	720	-1	15
531	1500.0	32	200	65	0.01	720	-1	255
