2	Light Outpost           	ss92        	Build to move your launch point closer to the enemy and to establish territorial control. It provides no technology benefits.                                                                           	302.5	6666	6666	30.0	15.0	3750	100	90	AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                                           	AtCanBuildSmBuildings IsCivCrimsonWing                                                                                                                                                                                                                          	HasGarrison                                                                                                                                                                                                                                                     		375	2400.0	8	0	station     	741	761	781	801	380	420	460	821	841	861	881	901	921	0	1	1	12	13	Outpost                 	27
3	Shipyard                	ss18        	Build to destroy your opponents' installations with anti-base missiles and capital-class ships such as Frigates and Destroyers.                                                                         	302.5	13333	6666	66.0	27.0	15000	250	120	AtCanBuildCapShips AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                        	AtCanBuildBuildings IsCivCrimsonWing HasLevel2 ShipyardsAllowed                                                                                                                                                                                                 	HasShipyard1 CopyShipyard                                                                                                                                                                                                                                       		4982	2400.0	8	0	iconshipyd  	742	762	782	802	380	420	460	822	842	862	882	902	922	0	2	1	7	10	Shipyard                	26
7	Adv Supremacy           	ss93        	This upgrade toughens the Supremacy Center and gives players more research options, especially for Fighter-class ships.                                                                                 	302.5	20000	10000	100.0	40.0	10000	250	120	AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                                           	AtCanBuildBuildings ResearchedOrdnance2 IsCivCrimsonWing SupremacyAllowed                                                                                                                                                                                       	HasOrdnance2 HasOrdnance1 HasOrd1Res1 HasOrd2Res2 HasLevel1 HasLevel2 CopyOrdnance                                                                                                                                                                              		886	3000.0	64	0	station     	746	766	786	806	380	420	460	826	846	866	886	906	926	0	6	1	7	10	AdvSupremacy            	26
8	Adv Expansion           	utl20       	This upgrade toughens the Expansion Complex and provides more research technologies, especially for Interceptors and Troop Transports.                                                                  	302.5	20000	10000	100.0	40.0	10000	250	120	AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                                           	AtCanBuildBuildings ResearchedResearch2 IsCivCrimsonWing ExpansionAllowed                                                                                                                                                                                       	HasResearch2 HasResearch1 HasOrd1Res1 HasOrd2Res2 HasLevel1 HasLevel2 CopyResearch                                                                                                                                                                              		886	3000.0	16	0	station     	745	765	785	805	380	420	460	825	845	865	885	905	925	0	5	1	7	10	AdvExpansion            	26
9	Adv Tactical Lab        	ss23        	This upgrade toughens the Tactical Laboratory and gives teams more research options, especially for Stealth Fighter craft.                                                                              	302.5	20000	10000	100.0	40.0	10000	250	120	AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                                           	AtCanBuildBuildings ResearchedElectronics2 IsCivCrimsonWing TacticalAllowed                                                                                                                                                                                     	HasElectronics2 HasElectronics1 HasLevel1 HasLevel2 CopyElectronics                                                                                                                                                                                             		886	3000.0	32	0	station     	747	767	787	807	380	420	460	827	847	867	887	907	927	0	7	1	7	10	AdvTactical             	26
10	Starbase                	ss24a       	This upgrade toughens the Garrison and makes available several key ship upgrades.                                                                                                                       	423.5	25000	15000	150.0	50.0	20000	250	120	AtStarbase2 AtCanBuildBuildings AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                           	AtCanBuildSmBuildings ResearchedStarbase2 IsCivCrimsonWing                                                                                                                                                                                                      	HasStarbase2 HasStarbase1                                                                                                                                                                                                                                       		887	4500.0	8	0	station     	740	760	780	800	380	420	460	820	840	860	880	900	920	0	0	1	7	10	Starbase                	26
11	Supremacy Ctr           	ss93        	Build to quickly seize sector control with the versatile Fighter-class ship and a large array of weaponry and offensive technologies.                                                                   	302.5	13333	6666	66.0	27.0	10000	250	120	AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                                           	AtCanBuildBuildings IsCivCrimsonWing SupremacyAllowed                                                                                                                                                                                                           	HasOrdnance1 HasOrd1Res1 HasLevel1 CopyOrdnance                                                                                                                                                                                                                 	7	886	2400.0	64	0	station     	746	766	786	806	380	420	460	826	846	866	886	906	926	0	6	1	7	10	Supremacy               	26
12	Expansion Com           	utl20       	Build to develop economic and defensive technologies such as better mining yield, Interceptors and Troop Transport craft.                                                                               	302.5	13333	6666	66.0	27.0	10000	250	120	AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                                           	AtCanBuildBuildings IsCivCrimsonWing ExpansionAllowed                                                                                                                                                                                                           	HasResearch1 HasOrd1Res1 HasLevel1 CopyResearch                                                                                                                                                                                                                 	8	886	2400.0	16	0	station     	745	765	785	805	380	420	460	825	845	865	885	905	925	0	5	1	7	10	Expansion               	26
13	Tactical Lab            	ss23        	Build to ruin your enemies' infrastructure with technologies such as the Stealth Fighter, the signature cloak, and better shields.                                                                      	302.5	13333	6666	66.0	27.0	10000	250	120	AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                                           	AtCanBuildBuildings IsCivCrimsonWing TacticalAllowed                                                                                                                                                                                                            	HasElectronics1 HasLevel1 CopyElectronics                                                                                                                                                                                                                       	9	886	2400.0	32	0	station     	747	767	787	807	380	420	460	827	847	867	887	907	927	0	7	1	7	10	Tactical                	26
14	Lt Refinery Platform    	ss06        	Build near He3 Asteroids to shorten round trip for Miners                                                                                                                                               	121.0	6666	3333	20.0	10.0	2250	250	90	                                                                                                                                                                                                                                                                	AtCanBuildSmBuildings IsCivCrimsonWing                                                                                                                                                                                                                          	                                                                                                                                                                                                                                                                		10241	2400.0	8	0	refinery    	744	764	784	804	380	420	460	824	844	864	884	904	924	0	4	1	12	13	Refinery                	27
15	Garrison                	ss24a       	Build as a hub for all sector activity and to build all the other large buildings, the nexus of your team's operation.                                                                                  	423.5	20000	10000	100.0	40.0	20000	250	120	AtStarbase1 AtCanBuildBuildings AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                           	AtCanBuildSmBuildings IsCivCrimsonWing                                                                                                                                                                                                                          	HasStarbase1                                                                                                                                                                                                                                                    	10	887	3600.0	8	0	station     	740	760	780	800	380	420	460	820	840	860	880	900	920	0	0	1	7	10	Garrison                	26
47	Lt Teleport Receiver    	utl06       	Build to establish a rapid-response transportation system. Good in defense and offense.                                                                                                                 	60.0	6666	3333	20.0	10.0	2250	50	90	                                                                                                                                                                                                                                                                	AtCanBuildSmBuildings IsCivCrimsonWing                                                                                                                                                                                                                          	                                                                                                                                                                                                                                                                		8200	2400.0	8	0	ripstation  	743	763	783	803	380	420	460	823	843	863	883	903	923	0	3	1	12	13	Teleport                	27
101	Drydock                 	acs05       	This upgrade toughens the Shipyard and gives teams more research options for capital ships, particularly the Cruiser-class ship.                                                                        	423.5	20000	10000	100.0	40.0	15000	250	120	AtCanBuildCapShips AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                        	AtCanBuildBuildings ResearchedShipyard2 IsCivIronLeague ShipyardsAllowed                                                                                                                                                                                        	HasShipyard1 HasShipyard2 CopyShipyard                                                                                                                                                                                                                          		4983	3000.0	8	0	iconshipyd  	742	762	782	802	380	425	460	822	842	862	882	902	922	0	2	1	7	10	Drydock                 	426
102	Heavy Outpost           	ss90        	Build to move your launch point closer to the enemy and to establish territorial control. It provides no technology benefits but cannot be destroyed by small ship weapons.                             	302.5	6666	6666	100.0	40.0	5000	100	90	AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                                           	AtCanBuildSmBuildings IsCivIronLeague                                                                                                                                                                                                                           	HasGarrison                                                                                                                                                                                                                                                     		375	2400.0	8	0	station     	741	761	781	801	380	425	460	821	841	861	881	901	921	0	1	1	7	10	Outpost                 	427
103	Shipyard                	acs05       	Build to destroy your opponents' installations with anti-base missiles and capital-class ships such as Frigates and Destroyers.                                                                         	302.5	13333	6666	66.0	27.0	15000	250	120	AtCanBuildCapShips AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                        	AtCanBuildBuildings IsCivIronLeague ShipyardsAllowed                                                                                                                                                                                                            	HasShipyard1 CopyShipyard                                                                                                                                                                                                                                       	101	4983	2400.0	8	0	iconshipyd  	742	762	782	802	380	425	460	822	842	862	882	902	922	0	2	1	7	10	Shipyard                	426
107	Adv Supremacy           	ss21a       	This upgrade toughens the Supremacy Center and gives players more research options, especially for Fighter-class ships.                                                                                 	302.5	20000	10000	100.0	40.0	10000	250	120	AtCanBuildSmBuildings AtCanBuildShips                                                                                                                                                                                                                           	AtCanBuildBuildings ResearchedOrdnance2 IsCivIronLeague SupremacyAllowed                                                                                                                                                                                        	HasOrdnance2 HasOrdnance1 HasOrd1Res1 HasOrd2Res2 HasLevel1 HasLevel2 CopyOrdnance                                                                                                                                                                              		887	3000.0	64	0	station     	746	766	786	806	380	425	460	826	846	866	886	906	926	0	6	1	7	10	AdvSupremacy            	426
