2831681	allegclub_707           	35	0	8.5933895	5	1	0	0	0	3	0	1	0	1	0	2000-06-29 09:48:00
2831681	allegclub_707           		0	35.698349	171	1	0	0	405	51	7	6	12	6	12	2000-06-29 10:15:00
2831681	allegclub_707           	201	0	25.104958	90	0	0	0	405	13	4	3	6	3	6	2000-06-29 10:15:00
2831681	allegclub_707           	25	0	2.0	49	0	0	0	0	26	3	1	5	1	5	2000-06-29 09:54:00
2831681	allegclub_707           	18	0	0.0	2	0	0	0	0	4	0	0	0	0	0	2000-06-29 09:45:00
2912929	Tkela                   	25	0	13.440284	41	1	0	0	0	21	0	0	4	0	4	2000-06-28 14:03:00
2912929	Tkela                   		0	57.373463	143	4	0	0	405	51	5	1	12	1	11	2000-06-28 14:03:00
2912929	Tkela                   	35	0	19.972315	44	1	0	0	405	6	2	0	3	0	3	2000-06-19 11:04:00
2831681	allegclub_707           	101	0	0.0	25	0	0	0	0	5	0	1	1	1	1	2000-06-28 14:03:00
2912929	Tkela                   	201	0	20.960863	39	2	0	0	0	17	2	1	3	1	2	2000-06-22 13:28:00
2912929	Tkela                   	101	0	3.0	14	0	0	0	0	4	1	0	1	0	1	2000-06-28 13:20:00
2912929	Tkela                   	18	0	0.0	5	0	0	0	0	3	0	0	1	0	1	2000-06-27 15:44:00
