0	unavailable                        	800000000000000000000000000000000000000000000000
1	ShipyardsAllowed                   	400000000000000000000000000000000000000000000000
2	ExpansionAllowed                   	200000000000000000000000000000000000000000000000
3	TacticalAllowed                    	040000000000000000000000000000000000000000000000
4	SupremacyAllowed                   	020000000000000000000000000000000000000000000000
7	HasElectronics2                    	010000000000000000000000000000000000000000000000
8	HasResearch1                       	008000000000000000000000000000000000000000000000
9	HasEnergy1                         	004000000000000000000000000000000000000000000000
10	HasEnergy2                         	002000000000000000000000000000000000000000000000
11	HasShipyard1                       	001000000000000000000000000000000000000000000000
12	HasGarrison                        	000800000000000000000000000000000000000000000000
13	HasOrdnance1                       	000400000000000000000000000000000000000000000000
14	HasOrdnance2                       	000200000000000000000000000000000000000000000000
15	HasResearch2                       	000100000000000000000000000000000000000000000000
16	HasShipyard                        	000080000000000000000000000000000000000000000000
17	HasStarbase1                       	000040000000000000000000000000000000000000000000
18	HasStarbase2                       	000020000000000000000000000000000000000000000000
19	HasStarbase3                       	000010000000000000000000000000000000000000000000
20	IsCivCrimsonWing                   	000008000000000000000000000000000000000000000000
21	IsCivIronLeague                    	000004000000000000000000000000000000000000000000
22	IsCivRix                           	000002000000000000000000000000000000000000000000
29	ResearchedCapTurret3               	000000040000000000000000000000000000000000000000
30	ResearchedCapTurret2               	000000020000000000000000000000000000000000000000
31	ResearchedCapTurret1               	000000010000000000000000000000000000000000000000
32	ResearchedTurret3                  	000000008000000000000000000000000000000000000000
33	ResearchedTurret2                  	000000004000000000000000000000000000000000000000
34	ResearchedTurret1                  	000000002000000000000000000000000000000000000000
35	ResearchedAPC1                     	000000001000000000000000000000000000000000000000
36	ResearchedBomber1                  	000000000800000000000000000000000000000000000000
37	ResearchedBooster1                 	000000000400000000000000000000000000000000000000
38	ResearchedBomber2                  	000000000200000000000000000000000000000000000000
45	ResearchedCloak1                   	000000000004000000000000000000000000000000000000
46	ResearchedCloak2                   	000000000002000000000000000000000000000000000000
47	ResearchedCapCloak1                	000000000001000000000000000000000000000000000000
51	ResearchedSniperWeapon1            	000000000000100000000000000000000000000000000000
52	ResearchedSniperWeapon2            	000000000000080000000000000000000000000000000000
53	ResearchedSniperWeapon3            	000000000000040000000000000000000000000000000000
56	ResearchedStealthBomber1           	000000000000008000000000000000000000000000000000
60	ResearchedAntiUtility2             	000000000000000800000000000000000000000000000000
61	ResearchedAntiUtility3             	000000000000000400000000000000000000000000000000
62	ResearchedCannon1                  	000000000000000200000000000000000000000000000000
63	ResearchedCannon2                  	000000000000000100000000000000000000000000000000
64	ResearchedCannon3                  	000000000000000080000000000000000000000000000000
67	ResearchedGalvonic                 	000000000000000010000000000000000000000000000000
