Bomber              	204	bom05b      	23.209999	50.0	500	60	800	1600	GCSB Interdictor (L). This large, lumbering craft is designed for base assault. It is vulnerable to enemies when flown without fighter or turret support.                                               	20.0	20.0	20.0	8.0	8.0	8.0	15.0	0.5	0.5	200	1500.0	90.0	IsCivCrimsonWing ResearchedBomber1 NotArena                                                                                                                                                                                                                     	ResearchedBomber1                                                                                                                                                                                                                                               	2706	1200	5	bomber      	2	0	0	294	0	1	60	0	8	289	dialog      	dialog      	140	180	220	260	300	340	251										33	22	157	80	130	2	0	0	1.0	0.80000001	1250.0
Lxy Interceptor     	251	fig11       	13.22	20.0	500	90	750	600	GCFI Vindicator (XH). This fast, short-range vessel is the most deadly of all fighters but hampered by low fuel capacity, poor scan range, lack of shielding, and incompatibility with teleporters.     	60.0	60.0	60.0	5.0	5.0	5.0	15.0	1.0	1.0	75	0.0	0.0	IsCivCrimsonWing ResearchedDefender2 HasResearch2 NotArena                                                                                                                                                                                                      	ResearchedDefender2                                                                                                                                                                                                                                             	146	450	10	interceptor 	0	1	0	0	2	1	0	1	4		dialog      	dialog      	140	180	220	260	300	340	231										17	23	80	26	120	2	0	0	2.0	1.0	500.0
Lifepod             	244	acs01       	4.0	10.0	0	60	25	200	                                                                                                                                                                                                        	40.0	40.0	40.0	8.0	8.0	8.0	15.0	1.0	1.0	50	0.0	0.0	IsCivCrimsonWing                                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	164	0	0	ejectpod    	0	0	0	0	0	1	0	0	0		dialog      	dialog      	140	180	220	260	300	340	299															1	0	255	1.0	1.0	250.0
Enhanced Fighter    	214	fig07       	17.139999	36.0	0	100	350	450	GCFF Annihilator(E).Typically deployed for prolonged combat situations that require quick response and good range, this fighter has 3 weapon mounts, hardpoints for missiles, and an average scan range.	60.0	60.0	60.0	5.0	5.0	5.0	25.0	0.5	0.5	100	1200.0	60.0	IsCivCrimsonWing ResearchedFighter2 HasOrdnance1 NotArena                                                                                                                                                                                                       	ResearchedFighter2                                                                                                                                                                                                                                              	146	600	10	fighter     	1	1	0	129	0	1	20	0	4	288	dialog      	dialog      	140	180	220	260	300	340	213										23	80	21	150	33	1	0	0	1.0	1.0	500.0
Stealth Fighter     	211	fig17       	18.25	60.0	0	140	150	1600	GCFS Predator (L). This more lightly armored combat craft is ideal for hit-and-run attacks.  It has a low sensor signature and the ability to cloak.Its default role is miner/constructor interdiction. 	30.0	30.0	30.0	6.0	6.0	6.0	36.0	0.5	0.25	50	2400.0	80.0	IsCivCrimsonWing ResearchedStealth1 HasElectronics1 NotArena                                                                                                                                                                                                    	ResearchedStealth1                                                                                                                                                                                                                                              	2194	200	5	stealthftr  	1	0	3	259	0	1	20	0	5	286	dialog      	dialog      	140	180	220	260	300	340	223									60	38	21	80	155	50	1	0	0	1.5	1.25	750.0
Interceptor         	212	fig11       	13.22	20.0	0	80	700	400	GCFI Vindicator (L) This fast, short-range vessel is the most deadly of all fighters but hampered by low fuel capacity, poor scan range, lack of shielding, and incompatibility with teleporters.       	60.0	60.0	60.0	5.0	5.0	5.0	15.0	1.0	1.0	75	0.0	0.0	IsCivCrimsonWing ResearchedDefender1 HasResearch1 NotArena                                                                                                                                                                                                      	ResearchedDefender1                                                                                                                                                                                                                                             	178	450	15	interceptor 	0	1	0	0	2	1	0	1	3	281	dialog      	dialog      	140	180	220	260	300	340	233										17	23	80	26	120	2	0	0	1.0	1.0	500.0
Scout               	210	fig05       	11.4	40.0	0	160	200	2400	GCFB Inquisitor (L) This small and agile craft is packed with scanner suites. It can deploy minefields and probes, and has 1 weapon mount for machine guns or repair weapons.                           	50.0	50.0	50.0	5.0	5.0	5.0	30.0	0.5	0.25	75	1200.0	60.0	IsCivCrimsonWing ResearchedSupport1 NotArena                                                                                                                                                                                                                    	ResearchedSupport1                                                                                                                                                                                                                                              	146	800	5	scout       	1	0	0	129	1027	1	10	2	4	285	dialog      	dialog      	140	180	220	260	300	340	203									150	21	81	80	153	33	1	0	0	1.0	1.0	1000.0
Heavy Bomber        	289	bom05b      	23.209999	50.0	500	75	1200	2000	GCFB Interdictor (H). This large, lumbering craft is designed for base assault. It is less vulnerable to enemies but still requires turret support to be effective.                                     	25.0	25.0	25.0	8.0	8.0	8.0	15.0	0.5	0.5	200	1500.0	90.0	IsCivCrimsonWing ResearchedBomber2 NotArena                                                                                                                                                                                                                     	ResearchedBomber2                                                                                                                                                                                                                                               	2706	1200	5	bomber      	2	0	0	806	0	1	75	0	8		dialog      	dialog      	140	180	220	260	300	340	250										80	22	157	33	130	2	0	0	1.0	0.80000001	1250.0
Light Cruiser       	221	cap01       	250.0	2500.0	11250	75	3000	2400	GCSMF Eradicator. This capital-scale craft is capable of carrying a great deal of missile ordnance to supplement multiple gun turrets. It is essentially a tougher version of the Bomber.               	7.5	7.5	7.5	10.0	10.0	10.0	10.0	1.0	0.5	400	0.0	0.0	AtCanBuildCapShips IsCivCrimsonWing ResearchedCapital1 HasShipyard1 NotArena                                                                                                                                                                                    	ResearchedCapital1                                                                                                                                                                                                                                              	2562	2200	5	capitol     	4	0	0	520	0	2	120	0	10		dialog      	dialog      	160	200	240	280	320	360	282										130	180	140	160	64	4	0	4	2.0	0.60000002	2250.0
Advanced Fighter    	288	fig07       	17.139999	36.0	0	120	450	500	GCFF Annihilator (A). Typically deployed for prolonged combat situations that require quick response and good range, this advanced version can carry special weapons for base attacks.                  	60.0	60.0	60.0	5.0	5.0	5.0	25.0	0.5	0.5	100	1500.0	90.0	IsCivCrimsonWing ResearchedFighter3 HasOrdnance2 NotArena                                                                                                                                                                                                       	ResearchedFighter3                                                                                                                                                                                                                                              	146	900	12	fighter     	1	1	0	129	0	1	25	0	4		dialog      	dialog      	140	180	220	260	300	340	212										33	80	21	23	150	1	0	0	1.0	1.0	500.0
Heavy Interceptor   	281	fig11       	13.22	20.0	0	90	750	500	GCFI Vindicator (H). This fast, short-range vessel is the most deadly of all fighters but hampered by low fuel capacity, poor scan range, lack of shielding, and incompatibility with teleporters.      	60.0	60.0	60.0	5.0	5.0	5.0	15.0	1.0	1.0	75	0.0	0.0	IsCivCrimsonWing ResearchedDefender2 HasResearch2 NotArena                                                                                                                                                                                                      	ResearchedDefender2                                                                                                                                                                                                                                             	178	450	15	interceptor 	0	1	0	0	2	1	0	1	4		dialog      	dialog      	140	180	220	260	300	340	232										17	23	80	26	120	2	0	0	1.0	1.0	500.0
Adv Scout           	285	fig05       	11.4	40.0	0	180	225	3000	GCFB Inquisitor (H). This small and agile craft is packed with scanner suites. It can deploy minefields and probes, and has 1 weapon mount for machine guns or repair weapons.                          	50.0	50.0	50.0	5.0	5.0	5.0	30.0	0.5	0.25	50	1500.0	60.0	IsCivCrimsonWing ResearchedSupport2 NotArena                                                                                                                                                                                                                    	ResearchedSupport2                                                                                                                                                                                                                                              	146	800	5	scout       	1	0	0	129	1027	1	15	2	5		dialog      	dialog      	140	180	220	260	300	340	202									150	21	81	80	153	33	1	0	0	1.0	1.0	1000.0
Adv Stealth Fighter 	286	fig17       	18.25	60.0	0	160	200	2000	GCFS Predator (A). This advanced lightly armored combat craft is ideal for hit-and-run attacks. It has a low sensor signature and the ability to cloak.Its default role is miner/constructor killing.   	30.0	30.0	30.0	6.0	6.0	6.0	36.0	0.5	0.25	50	2400.0	90.0	IsCivCrimsonWing ResearchedStealth2 HasElectronics2 NotArena                                                                                                                                                                                                    	ResearchedStealth2                                                                                                                                                                                                                                              	2194	200	5	stealthftr  	1	0	3	259	0	1	30	0	6		dialog      	dialog      	140	180	220	260	300	340	222									60	38	21	80	155	50	1	0	0	1.5	1.25	750.0
Troop Transport     	295	utl93b      	22.73	45.0	0	75	750	1200	GCTT Exonerator (L). This transport carries specially trained troops capable of taking over enemy facilities. This version can fire anti-shield EMP missiles which allow it to capture enemy facilities.	35.0	35.0	35.0	10.0	10.0	10.0	15.0	0.5	0.5	100	0.0	0.0	IsCivCrimsonWing ResearchedAPC1 HasResearch1 NotArena                                                                                                                                                                                                           	ResearchedAPC1                                                                                                                                                                                                                                                  	659	1200	5	transport   	2	0	0	0	0	1	0	0	8		dialog      	dialog      	140	180	220	260	300	340	271												80	33	22	2	0	0	2.0	0.80000001	1500.0
Destroyer           	291	cap20       	175.0	2500.0	6000	75	3000	1600	GCFD Adjudicator. This large, mainly defensive capitol ship can fire very long range missiles at Fighter class craft. It has no turrets but has Ripcord ability.                                        	10.0	10.0	10.0	9.0	9.0	9.0	10.0	1.0	0.5	400	0.0	0.0	AtCanBuildCapShips IsCivCrimsonWing ResearchedArtillery1 HasShipyard1 NotArena                                                                                                                                                                                  	ResearchedArtillery1                                                                                                                                                                                                                                            	2	200	5	capitol     	4	0	0	528	0	2	120	0	6		dialog      	dialog      	160	200	240	280	320	360	281												163	64	180	3	0	4	2.0	0.60000002	2250.0
Tower Layer Drone   	218	utl01b      	12.0	30.0	0	100	200	700	                                                                                                                                                                                                        	32.0	32.0	32.0	12.0	12.0	12.0	25.0	1.0	1.0	100	0.0	0.0	IsCivCrimsonWing unavailable NotArena                                                                                                                                                                                                                           	                                                                                                                                                                                                                                                                	-32640	0	0	utility     	0	0	0	0	0	0	0	0	0		dialog      	dialog      	140	180	220	260	300	340	1003															5	0	255	3.0	1.0	750.0
Patroller           	215	fig12       	17.26	36.0	0	120	300	800	GCFS Flanker (L). This fighter has 2 weapon mounts, Can deploy, mines, probes, is fast has a good scan range.                                                                                           	60.0	60.0	60.0	5.0	5.0	5.0	25.0	0.5	0.5	100	1200.0	60.0	IsCivCrimsonWing ResearchedFighter1 NotArena                                                                                                                                                                                                                    	ResearchedFighter1                                                                                                                                                                                                                                              	146	600	10	fighter     	1	0	0	129	1027	1	15	2	4		dialog      	dialog      	140	180	220	260	300	340	214										81	80	21	150	33	1	0	0	1.0	1.0	500.0
