50	167	250	20.0	34	0	81	1	41	0.0
33	100	250	0.0	39	1	82	2	42	9.9999998E-3
91	250	250	30.0	58	0	83	3	-1	9.9999998E-3
51	167	250	20.0	35	0	84	4	44	0.0
101	250	250	0.0	46	2	85	5	-1	9.9999998E-3
111	125	250	12.0	48	0	86	6	46	0.0
121	78	250	0.0	50	1	87	7	47	9.9999998E-3
130	82	250	0.0	52	1	88	8	48	9.9999998E-3
140	250	250	0.0	55	4	89	9	-1	9.9999998E-3
142	250	250	0.0	57	4	90	10	-1	9.9999998E-3
93	125	250	7.5	43	0	91	11	51	0.0
52	167	250	20.0	36	0	92	12	52	0.0
60	125	250	12.0	37	0	93	13	53	0.0
61	125	250	10.0	38	0	94	14	54	0.0
72	100	250	0.0	41	1	95	15	55	9.9999998E-3
71	100	250	0.0	40	1	96	16	56	9.9999998E-3
100	250	250	0.0	45	2	97	17	-1	9.9999998E-3
120	80	250	0.0	49	1	99	19	59	9.9999998E-3
122	82	250	0.0	51	1	100	20	60	9.9999998E-3
131	83	250	0.0	53	1	101	21	61	9.9999998E-3
132	83	250	0.0	54	1	102	22	62	9.9999998E-3
141	250	250	0.0	56	4	103	23	-1	9.9999998E-3
92	125	250	7.5	42	0	104	24	64	0.0
94	125	250	7.5	44	0	105	25	65	0.0
190	250	250	30.0	59	0	106	26	-1	9.9999998E-3
67	67	250	8.0	67	0	107	27	67	0.02
200	125	250	10.0	200	0	107	6	46	7.5000003E-2
201	125	250	9.0	201	0	107	6	46	5.0000001E-2
1003	125	250	0.0	1003	15	107	6	46	0.001
1004	125	250	0.0	1004	15	107	6	46	0.001
1005	125	250	0.0	1005	13	107	6	46	0.001
