40	Wingman         	CW wingman                                                                                                                                                                                              	1	212	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	90	2	0	60	
26	Constructor     	Station Building Transport                                                                                                                                                                              	1	217	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	10	
32	Miner           	Helium 3 Mining ship, build these for additional income.                                                                                                                                                	4000	237	IsCivCrimsonWing AtCanBuildShips                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	90	0	0	20	
41	Tower Layer     	Static Defense Tower (requires deployment) .                                                                                                                                                            	1500	218	IsCivCrimsonWing AtCanBuildShips                                                                                                                                                                                                                                	                                                                                                                                                                                                                                                                	90	5	0	30	31
326	Constructor     	Station Building Transport                                                                                                                                                                              	1	319	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	11	
426	Constructor     	Station Building Transport                                                                                                                                                                              	1	419	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	12	
332	Miner           	Helium 3 Mining ship, build these for additional income.                                                                                                                                                	4000	338	IsCivBios AtCanBuildShips                                                                                                                                                                                                                                       	                                                                                                                                                                                                                                                                	90	0	0	21	
432	Miner           	Helium 3 Mining ship, build these for additional income.                                                                                                                                                	4000	438	IsCivIronLeague AtCanBuildShips                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	90	0	0	22	
341	Tower Layer     	Static Defense Tower (requires deployment) .                                                                                                                                                            	1500	318	IsCivBios AtCanBuildShips                                                                                                                                                                                                                                       	                                                                                                                                                                                                                                                                	90	5	0	31	331
441	Tower Layer     	Static Defense Tower (requires deployment) .                                                                                                                                                            	1500	418	IsCivIronLeague AtCanBuildShips                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	90	5	0	32	431
200	Mine layer      	Static defense minefield (requires deployment).                                                                                                                                                         	1500	223	AtCanBuildShips                                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	90	5	0	40	1
526	Constructor     	Station Building Transport                                                                                                                                                                              	1	519	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	13	
626	Constructor     	Station Building Transport                                                                                                                                                                              	1	619	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	14	
532	Miner           	Helium 3 Mining ship, build these for additional income.                                                                                                                                                	3200	538	IsCivBelters AtCanBuildShips                                                                                                                                                                                                                                    	                                                                                                                                                                                                                                                                	90	0	0	23	
632	Miner           	Helium 3 Mining ship, build these for additional income.                                                                                                                                                	4000	638	IsCivRix AtCanBuildShips                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	90	0	0	24	
541	Tower Layer     	Static Defense Tower (requires deployment) .                                                                                                                                                            	1500	518	IsCivBelters AtCanBuildShips                                                                                                                                                                                                                                    	                                                                                                                                                                                                                                                                	90	5	0	33	531
641	Tower Layer     	Static Defense Tower (requires deployment) .                                                                                                                                                            	1500	618	IsCivRix AtCanBuildShips                                                                                                                                                                                                                                        	                                                                                                                                                                                                                                                                	90	5	0	34	631
625	Carrier         	Creates a mobile base for refueling and rearming.                                                                                                                                                       	5000	625	AtCanBuildCapShips IsCivRix                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	90	9	0	54	
525	Carrier         	Creates a mobile base for refueling and rearming.                                                                                                                                                       	5000	525	AtCanBuildCapShips IsCivBelters                                                                                                                                                                                                                                 	                                                                                                                                                                                                                                                                	90	9	0	53	
425	Carrier         	Creates a mobile base for refueling and rearming.                                                                                                                                                       	5000	425	AtCanBuildCapShips IsCivIronleague                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	90	9	0	52	
325	Carrier         	Creates a mobile base for refueling and rearming.                                                                                                                                                       	5000	325	AtCanBuildCapShips IsCivBios                                                                                                                                                                                                                                    	                                                                                                                                                                                                                                                                	90	9	0	51	
225	Carrier         	Creates a mobile base for refueling and rearming.                                                                                                                                                       	5000	225	AtCanBuildCapShips IsCivCrimsonWing                                                                                                                                                                                                                             	                                                                                                                                                                                                                                                                	90	9	0	50	
27	Constructor     	Station Building Transport                                                                                                                                                                              	1	271	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	10	
327	Constructor     	Station Building Transport                                                                                                                                                                              	1	370	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	11	
427	Constructor     	Station Building Transport                                                                                                                                                                              	1	470	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	12	
527	Constructor     	Station Building Transport                                                                                                                                                                              	1	570	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	13	
627	Constructor     	Station Building Transport                                                                                                                                                                              	1	670	unavailable                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1	6	0	14	
