59	2	11		1
80	10	21		1
81	1	22		1
180	10	50		1
85	15	27		1
86	15	26		1
150	10	32		1
151	10	33		1
152	10	34		1
153	10	35		1
154	10	36		1
155	10	37		1
156	5	7		1
157	10	39		1
158	10	40		1
159	10	41		1
160	10	42		1
161	10	43		1
162	10	44		1
163	10	45		1
164	10	46		1
10	10	3		1
11	10	4		1
1	2	6		1
192	3	8		1
58	2	9		1
57	2	10		1
13	2	12		1
14	2	13		1
15	2	15		1
16	2	16		1
17	2	17		1
18	2	18		1
20	2	20		1
30	2	23		1
31	2	24		1
32	4	25		1
48	1	28		1
53	10	53		1
54	10	54		1
19	1	19		1
2	1	2		1
5	2	5		1
95	10	95		5
96	10	96		5
1000	3	1000		1
1001	3	1001		1
1002	2	1002		1
631	1	631		1
800	3	800		1
850	2	850		1
861	2	861		1
862	2	862		1
830	1	1		1
871	2	871		1
872	2	872		1
601	4	601		1
600	1	600		1
